system_name,port_location,product_name,month_start,quantity,unit_price
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-07-01,2751,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-08-01,2170,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-09-01,1750,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-10-01,3353,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-11-01,3325,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-12-01,4200,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-01-01,4368,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-02-01,4508,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-03-01,5327,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-04-01,4452,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-05-01,3675,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-06-01,4557,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-07-01,2884,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-08-01,2884,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-09-01,2373,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-10-01,3409,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-11-01,3094,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2016-12-01,2205,14105
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-01-01,10632,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-02-01,15216,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-03-01,18912,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-04-01,17160,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-05-01,12624,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-06-01,16392,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-07-01,11304,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-08-01,14520,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-09-01,12456,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-10-01,15072,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-11-01,16680,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2015-12-01,15240,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-01-01,14232,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-02-01,9768,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-03-01,6960,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-04-01,4752,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-05-01,6984,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-06-01,5808,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-07-01,11880,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-08-01,12456,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-09-01,11712,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-10-01,12408,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-11-01,15000,10678
Alacarakmo,Weyl Gateway,Alacarakmo Skin Art,2016-12-01,17304,10678
Aganippe,Julian Market,Aganippe Rush,2015-01-01,6330,10985
Aganippe,Julian Market,Aganippe Rush,2015-02-01,6100,10985
Aganippe,Julian Market,Aganippe Rush,2015-03-01,4970,10985
Aganippe,Julian Market,Aganippe Rush,2015-04-01,6610,10985
Aganippe,Julian Market,Aganippe Rush,2015-05-01,5100,10985
Aganippe,Julian Market,Aganippe Rush,2015-06-01,7230,10985
Aganippe,Julian Market,Aganippe Rush,2015-07-01,6720,10985
Aganippe,Julian Market,Aganippe Rush,2015-08-01,3800,10985
Aganippe,Julian Market,Aganippe Rush,2015-09-01,4450,10985
Aganippe,Julian Market,Aganippe Rush,2015-10-01,5930,10985
Aganippe,Julian Market,Aganippe Rush,2015-11-01,4160,10985
Aganippe,Julian Market,Aganippe Rush,2015-12-01,5230,10985
Aganippe,Julian Market,Aganippe Rush,2016-01-01,5110,10985
Aganippe,Julian Market,Aganippe Rush,2016-02-01,5300,10985
Aganippe,Julian Market,Aganippe Rush,2016-03-01,4100,10985
Aganippe,Julian Market,Aganippe Rush,2016-04-01,5080,10985
Aganippe,Julian Market,Aganippe Rush,2016-05-01,4950,10985
Aganippe,Julian Market,Aganippe Rush,2016-06-01,4510,10985
Aganippe,Julian Market,Aganippe Rush,2016-07-01,3750,10985
Aganippe,Julian Market,Aganippe Rush,2016-08-01,5460,10985
Aganippe,Julian Market,Aganippe Rush,2016-09-01,7060,10985
Aganippe,Julian Market,Aganippe Rush,2016-10-01,6650,10985
Aganippe,Julian Market,Aganippe Rush,2016-11-01,5460,10985
Aganippe,Julian Market,Aganippe Rush,2016-12-01,5200,10985
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-01-01,3535,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-02-01,2737,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-03-01,3052,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-04-01,2954,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-05-01,4256,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-06-01,4795,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-07-01,4368,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-08-01,5040,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-09-01,5075,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-10-01,4683,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-11-01,4508,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2015-12-01,2835,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-01-01,3304,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-02-01,3388,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-03-01,3759,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-04-01,4074,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-05-01,4739,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-06-01,3430,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-07-01,3675,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-08-01,4816,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-09-01,4557,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-10-01,3899,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-11-01,3689,5253
Alpha Centauri,Hutton Orbital,Centauri Mega Gin,2016-12-01,3339,5253
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-01-01,18240,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-02-01,15810,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-03-01,13050,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-04-01,13200,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-05-01,13980,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-06-01,13200,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-07-01,15510,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-08-01,11340,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-09-01,12930,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-10-01,12750,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-11-01,9780,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2015-12-01,6900,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-01-01,9810,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-02-01,13080,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-03-01,14280,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-04-01,10050,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-05-01,16830,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-06-01,15780,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-07-01,15330,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-08-01,9810,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-09-01,7830,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-10-01,11370,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-11-01,12030,11736
Alpha Centauri,Hutton Orbital,The Hutton Mug,2016-12-01,15150,11736
Altair,Solo Orbiter,Altairian Skin,2015-01-01,4995,14478
Altair,Solo Orbiter,Altairian Skin,2015-02-01,8400,14478
Altair,Solo Orbiter,Altairian Skin,2015-03-01,6705,14478
Altair,Solo Orbiter,Altairian Skin,2015-04-01,7035,14478
Altair,Solo Orbiter,Altairian Skin,2015-05-01,10095,14478
Altair,Solo Orbiter,Altairian Skin,2015-06-01,9165,14478
Altair,Solo Orbiter,Altairian Skin,2015-07-01,7815,14478
Altair,Solo Orbiter,Altairian Skin,2015-08-01,9105,14478
Altair,Solo Orbiter,Altairian Skin,2015-09-01,9030,14478
Altair,Solo Orbiter,Altairian Skin,2015-10-01,6075,14478
Altair,Solo Orbiter,Altairian Skin,2015-11-01,5640,14478
Altair,Solo Orbiter,Altairian Skin,2015-12-01,6630,14478
Altair,Solo Orbiter,Altairian Skin,2016-01-01,6645,14478
Altair,Solo Orbiter,Altairian Skin,2016-02-01,8340,14478
Altair,Solo Orbiter,Altairian Skin,2016-03-01,7845,14478
Altair,Solo Orbiter,Altairian Skin,2016-04-01,5280,14478
Altair,Solo Orbiter,Altairian Skin,2016-05-01,6060,14478
Altair,Solo Orbiter,Altairian Skin,2016-06-01,5715,14478
Altair,Solo Orbiter,Altairian Skin,2016-07-01,7305,14478
Altair,Solo Orbiter,Altairian Skin,2016-08-01,10065,14478
Altair,Solo Orbiter,Altairian Skin,2016-09-01,9015,14478
Altair,Solo Orbiter,Altairian Skin,2016-10-01,6525,14478
Altair,Solo Orbiter,Altairian Skin,2016-11-01,6675,14478
Altair,Solo Orbiter,Altairian Skin,2016-12-01,4590,14478
Alya,Malaspina Gateway,Alya Body Soap,2015-01-01,8432,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-02-01,6624,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-03-01,6896,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-04-01,5216,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-05-01,7376,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-06-01,5504,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-07-01,7968,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-08-01,4592,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-09-01,6224,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-10-01,8928,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-11-01,7200,6239
Alya,Malaspina Gateway,Alya Body Soap,2015-12-01,9024,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-01-01,6704,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-02-01,10688,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-03-01,7328,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-04-01,4672,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-05-01,7824,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-06-01,8272,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-07-01,7312,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-08-01,7312,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-09-01,8704,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-10-01,6032,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-11-01,5168,6239
Alya,Malaspina Gateway,Alya Body Soap,2016-12-01,3120,6239
Anduliga,Celsius Estate,Anduliga Fire Works,2015-01-01,9696,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-02-01,8240,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-03-01,10128,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-04-01,5296,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-05-01,6768,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-06-01,8752,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-07-01,7904,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-08-01,7568,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-09-01,9296,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-10-01,9808,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-11-01,9184,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2015-12-01,11184,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-01-01,11184,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-02-01,11376,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-03-01,9280,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-04-01,8544,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-05-01,7840,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-06-01,6272,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-07-01,6208,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-08-01,7664,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-09-01,6656,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-10-01,8480,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-11-01,9744,9043
Anduliga,Celsius Estate,Anduliga Fire Works,2016-12-01,6720,9043
Any Na,Libby Orbital,Any Na Coffee,2015-01-01,5973,14562
Any Na,Libby Orbital,Any Na Coffee,2015-02-01,5214,14562
Any Na,Libby Orbital,Any Na Coffee,2015-03-01,5214,14562
Any Na,Libby Orbital,Any Na Coffee,2015-04-01,3355,14562
Any Na,Libby Orbital,Any Na Coffee,2015-05-01,5170,14562
Any Na,Libby Orbital,Any Na Coffee,2015-06-01,7227,14562
Any Na,Libby Orbital,Any Na Coffee,2015-07-01,7183,14562
Any Na,Libby Orbital,Any Na Coffee,2015-08-01,4532,14562
Any Na,Libby Orbital,Any Na Coffee,2015-09-01,3718,14562
Any Na,Libby Orbital,Any Na Coffee,2015-10-01,5049,14562
Any Na,Libby Orbital,Any Na Coffee,2015-11-01,5709,14562
Any Na,Libby Orbital,Any Na Coffee,2015-12-01,5830,14562
Any Na,Libby Orbital,Any Na Coffee,2016-01-01,7524,14562
Any Na,Libby Orbital,Any Na Coffee,2016-02-01,6545,14562
Any Na,Libby Orbital,Any Na Coffee,2016-03-01,7535,14562
Any Na,Libby Orbital,Any Na Coffee,2016-04-01,7909,14562
Any Na,Libby Orbital,Any Na Coffee,2016-05-01,7029,14562
Any Na,Libby Orbital,Any Na Coffee,2016-06-01,7480,14562
Any Na,Libby Orbital,Any Na Coffee,2016-07-01,7095,14562
Any Na,Libby Orbital,Any Na Coffee,2016-08-01,5940,14562
Any Na,Libby Orbital,Any Na Coffee,2016-09-01,6182,14562
Any Na,Libby Orbital,Any Na Coffee,2016-10-01,4510,14562
Any Na,Libby Orbital,Any Na Coffee,2016-11-01,5335,14562
Any Na,Libby Orbital,Any Na Coffee,2016-12-01,6314,14562
Arouca,Shipton Orbital,Arouca Conventual Sweets,2015-01-01,4440,7111
Arouca,Shipton Orbital,Arouca Conventual Sweets,2015-02-01,4008,7111
Arouca,Shipton Orbital,Arouca Conventual Sweets,2015-03-01,5664,7111
Arouca,Shipton Orbital,Arouca Conventual Sweets,2015-04-01,4320,7111
Arouca,Shipton Orbital,Arouca Conventual Sweets,2015-05-01,5508,7111
